"시점","시군구별","가임여성수"
2012,"종로구",43162.5
2012,"중구",33461.5
2012,"용산구",65008.5
2012,"성동구",80832
2012,"광진구",107479
2012,"동대문구",93695
2012,"중랑구",112012
2012,"성북구",128959.5
2012,"강북구",87771.5
2012,"도봉구",95898
2012,"노원구",165485.5
2012,"은평구",131832.5
2012,"서대문구",84320
2012,"마포구",110544.5
2012,"양천구",139243
2012,"강서구",156512
2012,"구로구",113231
2012,"금천구",62902
2012,"영등포구",104019
2012,"동작구",110794
2012,"관악구",145500
2012,"서초구",125552.5
2012,"강남구",171523
2012,"송파구",194061.5
2012,"강동구",132947.5
2012,"중구",10674.5
2012,"서구",26718.5
2012,"동구",21199.5
2012,"영도구",30902
2012,"부산진구",99021
2012,"동래구",71463.5
2012,"남구",72129
2012,"북구",82441.5
2012,"해운대구",113733
2012,"사하구",90379
2012,"금정구",63984.5
2012,"강서구",13822
2012,"연제구",53110.5
2012,"수영구",44005
2012,"사상구",64600
2012,"기장군",26803.5
2013,"종로구",41725.5
2013,"중구",32875.5
2013,"용산구",63473
2013,"성동구",80340
2013,"광진구",106280
2013,"동대문구",92629.5
2013,"중랑구",109335
2013,"성북구",126809.5
2013,"강북구",85811
2013,"도봉구",93543
2013,"노원구",161872.5
2013,"은평구",132054.5
2013,"서대문구",83453.5
2013,"마포구",109019
2013,"양천구",136590.5
2013,"강서구",154897.5
2013,"구로구",111803
2013,"금천구",61637.5
2013,"영등포구",102048.5
2013,"동작구",111359.5
2013,"관악구",143232.5
2013,"서초구",125786.5
2013,"강남구",169867.5
2013,"송파구",190338.5
2013,"강동구",129408
2013,"중구",10316
2013,"서구",25769
2013,"동구",20196.5
2013,"영도구",29290
2013,"부산진구",97045
2013,"동래구",69261
2013,"남구",70645.5
2013,"북구",81153.5
2013,"해운대구",112109.5
2013,"사하구",87817.5
2013,"금정구",62566.5
2013,"강서구",14277.5
2013,"연제구",51643
2013,"수영구",43167.5
2013,"사상구",62116.5
2013,"기장군",29854.5
2014,"종로구",40492.5
2014,"중구",31889
2014,"용산구",61868
2014,"성동구",79363
2014,"광진구",104485
2014,"동대문구",91929.5
2014,"중랑구",107758.5
2014,"성북구",123719
2014,"강북구",83622
2014,"도봉구",91037
