"행정구역(시군구)별(1)","행정구역(시군구)별(2)","시점",성별(1),15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"대구광역시","소계","2012",여자,16928,17296,17397,16878,16790,16728,15484,14761,14277,13715,13679,13868,14213,15630,17871,18987,19036,19039,17473,16953,17886,18499,19926,21178,22223,22887,23174,23511,24034,23954,22002,21530,22303,21202,21863
"대구광역시","소계","2013",여자,15990,16829,17265,17280,16701,16699,16566,15280,14442,13919,13329,13379,13546,13964,15327,17539,18724,18945,18990,17494,16936,17886,18537,19929,21244,22256,22877,23165,23448,23985,23870,21935,21482,22193,21118
"대구광역시","소계","2014",여자,15107,15946,16797,17151,17028,16587,16563,16342,14935,14048,13516,13039,13085,13319,13716,15057,17261,18607,18840,18941,17421,16942,17863,18530,19920,21261,22249,22812,23115,23368,23906,23741,21807,21378,22067
"대구광역시","소계","2015",여자,15216,15054,15892,16685,16903,16924,16449,16346,16022,14548,13738,13206,12771,12860,13106,13522,14872,17138,18485,18729,18876,17381,16929,17859,18540,19911,21229,22159,22716,23033,23279,23756,23571,21674,21224
"대구광역시","소계","2016",여자,14403,15146,15017,15798,16441,16779,16795,16321,16073,15679,14295,13490,12978,12609,12759,12981,13441,14765,17092,18407,18693,18806,17428,16934,17895,18557,19867,21186,22101,22669,22940,23180,23627,23431,21591
"대구광역시","소계","2017",여자,12352,14322,15123,14955,15555,16285,16708,16674,16058,15794,15452,14159,13351,12860,12518,12621,12897,13368,14752,17029,18385,18626,18831,17407,16931,17935,18534,19839,21150,22052,22579,22862,23065,23505,23333
"대구광역시","소계","2018",여자,11496,12266,14291,15038,14671,15416,16241,16614,16339,15727,15527,15258,14020,13194,12751,12393,12571,12832,13354,14718,17025,18332,18613,18816,17386,16937,17881,18473,19758,21066,21964,22475,22763,22910,23337
"대구광역시","소계","2019",여자,11234,11420,12226,14185,14670,14484,15310,16143,16179,15854,15271,15138,14956,13752,13018,12579,12307,12424,12807,13283,14674,16951,18287,18556,18754,17360,16866,17779,18395,19663,20949,21791,22328,22577,22700
"대구광역시","소계","2020",여자,10354,11142,11378,12156,13879,14534,14451,15305,15870,15710,15433,14853,14821,14655,13508,12802,12459,12111,12322,12702,13193,14604,16881,18213,18474,18683,17285,16769,17737,18272,19549,20810,21634,22159,22403
"대구광역시","소계","2021",여자,9942,10253,11102,11322,11882,13757,14509,14448,14998,15369,15253,14970,14518,14541,14368,13302,12659,12269,11966,12231,12591,13131,14549,16803,18136,18369,18586,17212,16694,17601,18188,19429,20648,21490,22011
"대구광역시","소계","2022",여자,10559,9857,10226,11046,11232,11866,13804,14454,14053,14362,14733,14757,14571,14211,14274,14185,13117,12520,12145,11908,12172,12548,13130,14488,16785,18097,18332,18542,17148,16623,17542,18071,19315,20521,21341
"대구광역시","중구","2012",여자,350,365,377,382,385,398,421,432,453,462,452,518,520,553,610,644,597,577,528,474,490,509,510,515,547,565,539,511,530,546,507,498,540,510,554
"대구광역시","중구","2013",여자,310,348,374,393,402,397,426,447,451,472,458,465,532,510,528,621,618,575,581,517,470,473,493,514,522,542,553,532,535,542,543,511,514,540,516
"대구광역시","중구","2014",여자,329,326,361,385,426,433,444,470,482,484,494,473,483,515,534,552,625,639,617,600,531,469,473,521,529,534,557,567,565,562,555,563,540,527,551
"대구광역시","중구","2015",여자,342,344,341,374,419,464,475,510,538,520,521,520,485,487,549,562,586,666,684,642,616,551,483,498,533,532,546,571,589,589,590,588,608,557,536
"대구광역시","중구","2016",여자,326,343,350,354,399,449,494,531,556,588,550,552,524,494,513,557,573,596,673,671,634,607,550,470,499,518,520,535,580,591,598,597,616,609,561
"대구광역시","중구","2017",여자,285,319,342,375,368,421,477,540,587,614,616,565,559,527,482,494,541,547,583,634,650,600,581,516,460,486,505,510,549,578,586,596,594,596,603
"대구광역시","중구","2018",여자,274,276,313,373,395,398,469,534,618,647,664,637,593,569,525,479,497,540,533,572,626,639,583,568,511,445,481,504,535,554,580,602,590,587,587
"대구광역시","중구","2019",여자,289,261,277,327,388,424,465,525,619,683,667,671,662,607,564,519,477,501,509,529,563,619,613,571,567,493,447,461,510,534,547,589,597,580,572
"대구광역시","중구","2020",여자,246,272,273,277,339,422,484,525,637,679,704,680,678,652,583,546,491,472,474,488,507,538,577,597,560,539,489,418,457,501,524,551,592,590,574
"대구광역시","중구","2021",여자,246,239,277,270,298,380,473,542,603,677,699,709,656,657,644,555,526,491,463,459,466,489,505,570,583,540,532,477,418,452,498,530,560,592,596
"대구광역시","중구","2022",여자,278,252,252,298,306,349,454,554,612,646,696,721,701,685,689,631,596,540,521,485,481,490,521,520,607,601,562,568,497,449,487,532,546,587,628
