"시점","행정구역(시군구)별","성별",15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"2012","서울특별시","여자",57684,59366.5,61169,61871,64354.5,66970,64974,63932.5,67389,70611,73696.5,78296.5,81893,87851.5,96210.5,99545,98319,96327,86403,81481.5,82785.5,81105,84043,88172,89906,91961,92807,90973,89727,86929,79464,78117.5,81923,79599.5,80890
"2012","종로구","여자",903.5,902,949.5,976.5,1023,1092.5,1102,1097.5,1124,1143.5,1250,1291.5,1264.5,1272.5,1351,1363.5,1315,1272,1141.5,1063.5,1116.5,1099,1216.5,1333,1402.5,1471,1535.5,1508.5,1491,1453.5,1349,1283.5,1352,1333,1319
"2012","중구","여자",602,607.5,631.5,674,773,810,780.5,761.5,819.5,863,872.5,928.5,1006,1077.5,1162.5,1226,1224,1206.5,1105,1004,1003.5,991,1024,1063.5,1082.5,1089.5,1117,1081,1038,1000,912,902.5,1012,1001,1009
"2012","용산구","여자",1077.5,1155,1207,1198,1295,1403.5,1412.5,1379,1475.5,1542,1680,1831.5,1885,2078.5,2346.5,2506.5,2535,2415.5,2119.5,2052,2078.5,2053,2095,2124,2207.5,2309.5,2299.5,2232.5,2112.5,1952.5,1772.5,1701,1816.5,1817,1842
"2012","성동구","여자",1529.5,1566.5,1599,1677,1776,1877.5,1835,1873,1971,2088.5,2102,2217,2386,2503,2737,2920.5,2906.5,2864.5,2659.5,2475.5,2459.5,2486,2643.5,2732.5,2731,2778,2732.5,2622.5,2487,2339,2190,2207.5,2309.5,2233,2316
"2012","광진구","여자",2136.5,2256,2311.5,2287,2355.5,2504.5,2511.5,2569,2795,2981,3143.5,3440,3612,3783.5,4138.5,4121.5,3904.5,3737.5,3192.5,2988,2999,2904.5,3009,3120.5,3242,3308.5,3378.5,3372,3376,3275.5,2977.5,2951,2994,2878,2924
"2012","동대문구","여자",1776,1859.5,1943,2003,2180,2348,2316.5,2317.5,2451,2592,2640.5,2761.5,2831,2990,3223,3326.5,3242,3183,2832.5,2718.5,2813,2750,2795.5,2925.5,2993.5,3010.5,3041.5,2965,2921,2819.5,2578,2522,2675,2641,2709
"2012","중랑구","여자",2279.5,2424,2629,2671.5,2792.5,2890.5,2711.5,2675,2856.5,2944,2967,3081.5,3277.5,3378.5,3664.5,3849.5,3788.5,3686,3256,3064.5,3038.5,2981,3150,3332.5,3436.5,3493.5,3572,3559,3628.5,3615.5,3440,3395.5,3521,3408.5,3552.5
"2012","성북구","여자",2508,2537.5,2607.5,2660.5,2904,3198.5,3164.5,3122.5,3293.5,3387,3503,3665.5,3696,3890,4151.5,4314,4305,4249.5,3908,3793.5,3927.5,3939.5,4194.5,4505,4484,4461.5,4460.5,4259,4131,3913.5,3563.5,3478.5,3613.5,3560.5,3608
"2012","강북구","여자",1747,1847,1974.5,1985,2129,2190.5,2064,1983,2089.5,2088,2102,2274.5,2401.5,2628,2888,2972,2924.5,2879,2633,2532,2602.5,2561,2718.5,2890.5,2919.5,3013,2991,2904,2936,2837,2580.5,2581.5,2664.5,2550,2690
"2012","도봉구","여자",2187.5,2240.5,2299,2322.5,2448,2525,2409.5,2363.5,2392.5,2366.5,2372.5,2445,2490,2600.5,2877.5,3012.5,2968,2818.5,2574,2455.5,2529,2585,2749.5,3000.5,3104,3258.5,3327.5,3250.5,3322,3279.5,2983,3015.5,3143,3032,3150
"2012","노원구","여자",4260.5,4329,4382.5,4319,4325.5,4355.5,4093,3836.5,3749.5,3615.5,3591.5,3760.5,3800.5,4066.5,4604.5,4778,4826.5,4884.5,4447,4283.5,4457,4565.5,4866.5,5228.5,5529.5,5917,6191,6175.5,6123.5,5900.5,5372,5215,5303.5,5118.5,5212.5
