구별,2017,2018,2019,2020,2021
종로구,0.646,0.606,0.648,0.522,0.531
중구,0.824,0.737,0.78,0.688,0.634
용산구,0.793,0.747,0.713,0.634,0.664
성동구,0.972,0.909,0.855,0.783,0.764
광진구,0.749,0.713,0.652,0.527,0.525
동대문구,0.822,0.753,0.765,0.699,0.66
중랑구,0.906,0.825,0.777,0.66,0.65
성북구,0.818,0.737,0.707,0.676,0.656
강북구,0.825,0.647,0.617,0.55,0.541
도봉구,0.833,0.774,0.697,0.601,0.579
노원구,0.938,0.809,0.776,0.695,0.701
은평구,0.814,0.772,0.697,0.623,0.604
서대문구,0.823,0.727,0.685,0.685,0.635
마포구,0.806,0.733,0.681,0.594,0.587
양천구,0.898,0.771,0.742,0.644,0.645
강서구,0.925,0.826,0.76,0.675,0.617
구로구,0.943,0.838,0.794,0.737,0.737
금천구,0.901,0.796,0.709,0.668,0.612
영등포구,0.884,0.851,0.829,0.705,0.713
동작구,0.831,0.737,0.697,0.655,0.602
관악구,0.662,0.597,0.536,0.474,0.437
서초구,0.799,0.8,0.715,0.656,0.666
강남구,0.706,0.631,0.612,0.537,0.523
송파구,0.871,0.8,0.77,0.665,0.623
강동구,0.884,0.82,0.758,0.748,0.797
