시점,시도별,분유,이유식,TV,영상음향기기,휴대용멀티미디어기기,악기,유아동복,유아용학습교재,초등학교학습서,중학교학습서,고등학교학습서,아동화,장난감,반려동물용품,종이문구,기타문구,필기구,회화용구,유모차,유치원납입금,보육시설이용료,요양시설이용료,반려동물관리비,노래방이용료,놀이시설이용료,운동경기관람료,영화관람료,공연예술관람료,관람시설이용료,문화강습료,온라인콘텐츠이용료,초등학생학원비,중학생학원비,고등학생학원비,음악학원비,미술학원비,운동학원비,전산학원비,가정학습지,이러닝이용료,학교보충교육비,외국어학원비,운동강습료,미용료,뷰티미용료,산후조리원이용료,출산율
2012,　　　서울특별시,98.66,95.056,202.849,98.947,94.083,90.331,89.824,89.448,76.668,85.463,91.137,93.95,91.907,92.687,91.364,80.577,91.82,86.872,97.484,111.714,124.725,72.77,101.821,85.921,85.551,81.814,78.384,100.0,80.927,85.989,92.749,86.45,84.411,71.942,82.53,85.005,74.969,96.705,94.766,106.47,105.353,84.735,80.28,83.856,89.814,98.461,1.3
2013,　　　서울특별시,98.974,95.798,191.743,106.726,92.56,93.632,94.456,91.265,77.671,89.629,91.119,93.95,90.317,93.167,91.197,82.494,91.341,88.072,94.265,89.935,88.558,74.763,102.389,89.418,87.124,84.455,79.438,100.0,82.882,88.096,94.599,88.584,87.58,76.526,83.747,87.431,77.073,99.237,96.371,108.184,104.534,86.87,82.648,86.386,91.025,96.02,1.19
2014,　　　서울특별시,106.709,96.081,175.617,105.715,92.888,92.388,96.644,91.465,79.98,93.451,91.119,93.95,91.303,96.361,96.683,88.157,94.368,88.272,92.318,89.096,89.885,77.335,104.372,93.536,89.615,88.43,83.214,100.0,85.584,90.932,94.442,90.677,88.587,82.276,85.175,90.097,80.869,99.668,96.231,108.184,103.45,90.619,89.525,93.446,91.103,92.851,1.21
2015,　　　서울특별시,111.558,98.969,157.692,105.991,88.127,91.936,97.822,95.359,86.986,93.923,91.216,93.95,93.181,96.671,97.733,89.402,97.761,89.978,94.537,95.597,94.519,79.777,104.664,93.464,90.55,89.96,85.462,100.0,87.736,93.267,94.442,91.833,91.955,85.449,86.441,91.119,84.884,99.732,95.129,109.348,100.281,91.298,91.577,94.548,91.8,93.477,1.24
2016,　　　서울특별시,102.943,97.386,143.824,106.69,91.959,91.157,99.75,95.855,88.343,93.923,92.789,93.95,97.264,99.77,96.827,91.316,99.52,89.995,98.053,97.956,99.652,81.117,109.532,96.656,92.867,98.374,87.74,100.0,89.177,94.789,97.979,93.16,93.997,88.873,90.41,93.476,88.428,99.31,96.66,111.252,95.28,92.59,93.462,95.255,93.035,94.208,1.17
2017,　　　서울특별시,101.063,98.899,131.35,103.983,97.07,94.13,103.129,98.334,91.743,93.923,94.256,93.31,98.479,100.831,95.69,94.459,100.438,90.269,105.31,98.31,101.612,84.348,110.881,98.09,94.678,94.62,88.453,100.0,93.276,96.368,98.749,95.15,94.686,92.214,92.881,94.93,91.676,95.935,96.709,111.252,95.39,93.876,94.399,93.95,95.376,94.582,1.05
2018,　　　서울특별시,97.666,91.736,117.371,100.991,101.444,97.044,103.513,98.334,95.856,95.232,95.986,94.091,99.432,99.144,97.268,98.399,101.109,90.477,106.535,100.01,99.89,92.126,111.337,98.686,98.192,97.681,94.999,100.0,97.621,98.232,98.749,96.587,95.656,95.248,97.505,95.835,94.946,96.0,97.091,111.252,98.61,96.299,95.533,96.715,98.342,97.775,0.98
2019,　　　서울특별시,97.033,97.821,108.932,100.197,102.703,99.38,102.043,98.358,98.506,99.774,98.609,97.538,99.58,98.351,99.072,99.377,101.911,96.272,104.484,102.145,100.504,97.607,103.459,98.918,100.513,98.583,97.437,100.0,99.18,99.287,99.987,97.662,96.861,97.286,97.81,98.737,97.639,97.062,100.0,120.623,99.692,98.428,99.233,98.593,99.214,99.502,0.92
2020,　　　서울특별시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　서울특별시,100.41,100.0,97.82,96.93,99.07,101.82,98.99,100.31,100.61,100.0,101.25,100.0,99.26,100.42,99.78,106.87,98.5,99.27,95.78,97.28,98.51,101.07,101.24,104.98,101.85,100.0,116.48,100.0,107.39,103.68,100.45,101.93,101.91,100.82,103.76,101.66,103.36,100.71,99.73,107.46,100.93,103.08,99.41,99.72,100.99,100.86,0.81
