"행정구역(시군구)별(1)","행정구역(시군구)별(2)","시점",성별(1),15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"경기도","여주군","2012",여자,667,666,681,673,641,637,591,553,559,548,534,520,554,615,651,708,714,735,670,669,702,725,773,803,782,779,809,831,887,855,813,818,843,803,829
"경기도","수원시","2012",여자,7960,8145,8314,8262,8452,8495,7902,7363,7393,7403,7288,7396,7551,8133,9204,9962,9952,9687,9012,8907,9263,9231,9704,10441,10539,10668,10919,11159,11568,11124,10090,9771,9883,9202,9058
"경기도","수원시","2013",여자,7776,7978,8207,8395,8491,8627,8673,8140,7639,7698,7649,7517,7620,7787,8427,9556,10333,10302,10010,9277,9136,9516,9483,9961,10653,10767,10863,11100,11304,11689,11220,10180,9866,9944,9318
"경기도","수원시","2014",여자,7550,7800,8006,8269,8596,8600,8797,8935,8402,7921,7910,7856,7716,7851,8065,8726,9869,10611,10640,10318,9528,9403,9765,9675,10165,10862,10905,10991,11209,11388,11749,11254,10214,9899,10026
"경기도","수원시","2015",여자,7619,7521,7769,8040,8444,8664,8747,8977,9181,8611,8081,8034,7955,7924,8069,8300,8905,10007,10805,10817,10491,9710,9505,9834,9715,10220,10883,10936,11022,11236,11388,11728,11235,10190,9889
"경기도","수원시","2016",여자,7220,7554,7462,7767,8158,8509,8716,8831,9207,9402,8724,8148,8125,8098,8094,8199,8425,8942,9997,10812,10833,10491,9735,9467,9738,9665,10189,10895,10924,11008,11177,11367,11682,11166,10146
"경기도","수원시","2017",여자,6258,7177,7499,7465,7912,8305,8561,8831,9052,9439,9485,8780,8282,8222,8258,8180,8323,8487,8999,10000,10805,10816,10528,9693,9421,9724,9663,10186,10887,10876,10954,11121,11317,11589,11116
"경기도","수원시","2018",여자,5976,6219,7137,7494,7622,8072,8349,8693,9104,9255,9582,9548,8836,8330,8333,8264,8162,8271,8479,8922,9890,10730,10717,10481,9645,9364,9695,9605,10159,10798,10834,10882,11078,11209,11514
"경기도","수원시","2019",여자,5902,5933,6212,7114,7639,7708,8095,8459,8972,9314,9423,9606,9479,8772,8342,8230,8135,7953,8132,8332,8740,9729,10526,10585,10334,9558,9286,9603,9534,10074,10736,10760,10776,10999,11084
"경기도","수원시","2020",여자,5471,5860,5917,6177,7206,7704,7799,8169,8708,9201,9427,9379,9506,9399,8678,8225,8085,7938,7855,7961,8182,8602,9533,10361,10371,10234,9422,9201,9458,9441,9994,10651,10621,10713,10849
"경기도","수원시","2021",여자,5302,5438,5828,5882,6263,7342,7888,7953,8512,8986,9313,9421,9400,9510,9378,8708,8189,8005,7907,7755,7886,8105,8445,9413,10181,10221,10071,9346,9069,9377,9362,9920,10547,10528,10605
"경기도","수원시","2022",여자,5616,5284,5427,5822,5997,6414,7526,8147,8343,8825,9149,9394,9490,9480,9657,9531,8881,8264,8104,8012,7820,7926,8051,8414,9394,10120,10159,10032,9327,9019,9350,9316,9864,10463,10507
"경기도","장안구","2012",여자,2218,2220,2237,2263,2376,2386,2190,1965,1888,1806,1732,1700,1742,1890,2085,2195,2235,2266,2140,2105,2215,2279,2453,2710,2823,2862,2924,3038,3171,3051,2806,2674,2658,2450,2441
"경기도","장안구","2013",여자,2137,2216,2231,2268,2343,2385,2390,2207,1954,1869,1807,1733,1733,1747,1921,2162,2270,2311,2356,2218,2177,2282,2342,2505,2745,2842,2852,2950,3058,3187,3076,2812,2680,2643,2482
"경기도","장안구","2014",여자,2025,2143,2221,2272,2347,2370,2413,2412,2207,1934,1871,1811,1729,1740,1780,1981,2193,2324,2388,2421,2265,2224,2343,2405,2559,2782,2836,2890,2977,3086,3202,3066,2810,2681,2668
"경기도","장안구","2015",여자,2000,2002,2117,2222,2304,2335,2349,2374,2388,2133,1914,1836,1768,1720,1727,1768,1925,2144,2304,2362,2377,2240,2212,2339,2379,2557,2737,2811,2873,2940,3048,3154,3016,2778,2649
"경기도","장안구","2016",여자,1908,1973,1973,2098,2258,2292,2303,2300,2353,2336,2081,1844,1772,1723,1675,1691,1739,1866,2091,2244,2321,2336,2234,2181,2293,2368,2505,2712,2774,2831,2901,2998,3113,2987,2735
"경기도","장안구","2017",여자,1614,1880,1950,1958,2177,2284,2272,2263,2267,2322,2241,1986,1796,1712,1655,1623,1672,1691,1828,2033,2217,2277,2317,2213,2140,2268,2331,2475,2687,2756,2795,2847,2966,3076,2933
