"행정구역(시군구)별(1)","행정구역(시군구)별(2)","시점",성별(1),15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
"경기도","양주시","2012",여자,1241,1264,1288,1274,1263,1216,1078,956,951,957,945,969,997,1088,1261,1447,1552,1566,1479,1533,1631,1680,1785,1958,1966,1881,1858,1861,1855,1699,1550,1556,1536,1425,1479
"경기도","양주시","2013",여자,1295,1251,1247,1279,1239,1203,1194,1075,954,925,943,932,944,998,1064,1253,1433,1523,1567,1494,1525,1615,1654,1756,1939,1953,1861,1836,1862,1829,1692,1549,1550,1516,1432
"경기도","양주시","2014",여자,1298,1310,1250,1238,1270,1219,1193,1189,1068,939,920,937,917,949,1009,1057,1262,1439,1548,1565,1506,1512,1599,1637,1754,1936,1944,1845,1850,1839,1829,1688,1561,1543,1535
"경기도","양주시","2015",여자,1306,1310,1316,1251,1244,1267,1210,1202,1184,1067,938,931,936,924,986,1017,1095,1291,1485,1562,1604,1522,1513,1610,1658,1769,1948,1940,1871,1851,1860,1839,1709,1571,1571
"경기도","양주시","2016",여자,1282,1308,1308,1306,1235,1218,1251,1207,1192,1171,1050,928,933,924,937,981,1012,1105,1318,1497,1579,1604,1533,1516,1636,1655,1780,1947,1949,1877,1853,1865,1846,1713,1579
"경기도","양주시","2017",여자,1174,1285,1319,1298,1276,1220,1210,1241,1203,1179,1143,1043,951,943,939,947,996,1055,1162,1345,1522,1605,1645,1570,1560,1650,1676,1803,1963,1964,1883,1879,1883,1856,1717
"경기도","양주시","2018",여자,1155,1179,1292,1325,1275,1285,1212,1200,1229,1202,1171,1183,1085,994,979,975,1018,1063,1140,1225,1411,1587,1680,1717,1603,1600,1674,1711,1837,1990,1986,1924,1900,1910,1876
"경기도","양주시","2019",여자,1163,1166,1177,1302,1310,1272,1267,1207,1205,1228,1213,1196,1206,1114,1035,1024,1043,1085,1105,1208,1287,1468,1662,1746,1741,1640,1641,1708,1753,1868,2007,2011,1939,1950,1944
"경기도","양주시","2020",여자,1082,1179,1168,1192,1323,1297,1282,1265,1236,1230,1232,1212,1230,1225,1172,1108,1090,1117,1125,1188,1276,1360,1553,1758,1811,1817,1711,1689,1750,1783,1897,2056,2051,2001,1991
"경기도","양주시","2021",여자,1109,1096,1184,1178,1213,1319,1316,1278,1279,1277,1217,1230,1248,1252,1274,1213,1201,1158,1171,1194,1256,1357,1450,1651,1841,1917,1902,1776,1718,1781,1825,1948,2107,2096,2027
"경기도","양주시","2022",여자,1238,1136,1111,1196,1177,1204,1312,1322,1285,1299,1264,1230,1267,1275,1298,1318,1302,1258,1222,1241,1269,1348,1428,1549,1719,1938,2007,1969,1830,1764,1822,1873,2004,2153,2127
"경기도","포천시","2012",여자,1011,1023,1020,1015,1016,968,895,850,822,802,793,763,757,819,889,901,912,914,871,902,940,989,1055,1137,1189,1228,1244,1240,1319,1311,1228,1240,1299,1261,1265
"경기도","포천시","2013",여자,952,1009,1010,1012,1005,991,929,877,845,807,775,754,734,727,786,862,879,895,889,866,887,932,987,1045,1108,1173,1202,1233,1228,1311,1305,1219,1245,1295,1256
"경기도","포천시","2014",여자,897,955,1002,1003,994,1002,951,906,864,847,782,748,710,716,720,772,836,850,869,888,860,889,928,977,1022,1106,1153,1200,1221,1223,1293,1301,1213,1247,1288
"경기도","포천시","2015",여자,895,899,958,993,972,987,951,905,880,869,824,758,716,708,698,701,749,811,841,859,876,873,881,915,967,1016,1106,1143,1189,1195,1201,1297,1301,1224,1235
"경기도","포천시","2016",여자,835,897,894,936,962,950,933,897,881,863,826,787,737,711,690,671,686,731,822,830,844,876,864,885,929,955,1024,1090,1125,1158,1191,1206,1302,1298,1229
"경기도","포천시","2017",여자,720,834,889,875,919,944,907,894,868,855,815,781,762,720,687,662,654,674,732,790,815,838,859,851,890,911,939,1014,1065,1098,1154,1194,1198,1292,1307
"경기도","포천시","2018",여자,690,708,832,881,852,883,903,863,860,840,797,761,751,736,687,668,623,633,655,696,752,792,813,827,833,863,873,914,982,1049,1099,1160,1182,1190,1289
"경기도","포천시","2019",여자,635,679,704,828,847,809,851,834,820,807,781,738,731,724,691,660,639,587,608,648,650,720,761,794,809,815,838,856,887,969,1064,1094,1154,1170,1185
"경기도","포천시","2020",여자,529,629,671,701,802,812,776,789,789,774,767,727,710,714,670,654,643,605,562,608,616,646,699,739,776,791,801,825,838,872,979,1041,1101,1143,1166
"경기도","포천시","2021",여자,533,537,625,676,687,788,784,751,778,781,772,754,724,725,691,660,644,615,602,577,605,611,642,692,745,776,796,785,807,845,878,981,1059,1111,1160
"경기도","포천시","2022",여자,547,538,529,626,658,678,769,757,746,770,777,772,760,722,717,674,657,626,621,608,575,583,605,640,701,748,783,780,768,821,847,885,987,1071,1131
"경기도","여주시","2013",여자,671,675,663,677,636,626,629,583,533,541,550,513,511,548,583,674,731,715,721,681,667,705,724,771,809,779,777,807,831,889,852,828,822,839,808
"경기도","여주시","2014",여자,665,674,677,660,637,626,606,628,569,522,528,527,496,502,543,592,690,728,719,739,686,673,719,729,772,811,772,780,800,840,893,865,830,824,853
"경기도","여주시","2015",여자,650,665,679,671,639,625,598,605,615,557,505,512,515,485,508,545,587,701,734,731,746,696,690,720,728,774,807,771,788,811,860,907,863,831,841
"경기도","여주시","2016",여자,606,646,661,672,660,646,622,594,605,597,539,488,499,492,470,510,534,608,692,733,725,755,700,684,716,732,769,801,790,791,823,865,906,863,836
"경기도","여주시","2017",여자,540,598,643,652,656,661,632,606,587,594,571,514,483,490,475,468,510,551,602,693,725,731,762,698,685,708,738,770,816,801,804,829,875,919,874
"경기도","여주시","2018",여자,496,535,600,636,631,635,628,590,580,573,573,544,515,484,486,457,466,508,549,601,678,719,733,756,697,676,714,741,775,826,810,814,837,891,931
"경기도","여주시","2019",여자,466,492,532,596,620,604,612,592,557,562,550,550,528,502,469,464,448,460,495,544,582,664,721,734,741,702,678,708,738,770,825,813,824,841,885
"경기도","여주시","2020",여자,444,468,494,525,589,606,586,597,561,538,537,543,513,507,488,449,455,452,455,488,538,568,674,736,723,756,702,674,714,743,775,835,829,822,840
"경기도","여주시","2021",여자,438,449,472,488,514,586,591,574,582,529,518,535,505,509,510,472,444,460,458,456,499,531,567,687,745,727,749,705,679,721,751,791,845,831,828
"경기도","여주시","2022",여자,461,441,450,473,477,504,551,570,555,564,509,509,519,519,509,512,480,456,480,479,473,505,533,580,699,747,730,753,715,684,726,760,805,855,841
"경기도","연천군","2012",여자,222,224,241,251,241,236,231,217,226,204,198,182,203,209,253,267,247,252,213,207,212,209,247,255,255,266,278,290,294,293,289,308,331,335,322
"경기도","연천군","2013",여자,223,227,223,237,243,231,236,224,218,210,206,191,196,210,230,253,261,260,252,216,205,210,213,246,262,258,268,281,282,292,295,295,304,335,341
"경기도","연천군","2014",여자,211,225,228,219,224,231,224,231,216,210,213,210,196,201,205,220,236,252,256,255,213,198,222,218,250,266,257,267,265,281,294,296,291,303,342
"경기도","연천군","2015",여자,220,209,225,226,208,214,229,217,227,222,210,214,204,202,188,204,206,226,246,255,248,215,214,222,216,249,265,252,258,258,280,289,290,287,309
"경기도","연천군","2016",여자,209,219,206,222,222,198,217,225,221,236,219,205,212,204,202,197,205,204,225,237,253,255,218,213,219,208,247,257,245,250,251,280,285,286,293
"경기도","연천군","2017",여자,181,209,221,202,213,209,201,211,219,224,233,204,212,205,203,208,200,200,198,223,238,249,248,217,208,213,208,238,245,244,248,254,283,287,291
"경기도","연천군","2018",여자,154,173,209,219,191,199,204,187,197,222,215,221,210,198,186,204,196,187,187,198,223,232,242,239,207,206,211,195,231,242,246,245,257,287,289
"경기도","연천군","2019",여자,145,148,174,213,206,179,193,197,177,206,211,214,221,206,184,184,190,187,174,171,191,208,224,224,228,197,202,199,198,223,239,240,245,261,284
"경기도","연천군","2020",여자,148,147,149,176,203,198,175,187,191,188,200,201,208,225,197,177,171,180,178,161,164,178,209,216,220,220,197,198,199,189,223,238,242,247,264
"경기도","연천군","2021",여자,132,148,146,148,173,195,190,171,178,182,184,189,192,204,205,196,161,160,171,172,156,159,176,210,217,219,217,192,196,192,191,226,238,239,253
"경기도","연천군","2022",여자,136,128,149,146,142,169,187,189,168,162,180,175,182,178,188,203,181,159,156,164,155,153,149,173,203,212,214,210,190,190,193,193,220,234,244
"경기도","가평군","2012",여자,319,302,285,300,321,323,294,274,260,267,250,261,261,277,309,334,309,312,305,293,307,329,346,358,367,366,399,419,424,421,407,409,430,416,452
"경기도","가평군","2013",여자,316,317,306,299,303,310,316,294,261,260,256,250,267,267,275,317,328,326,315,306,296,321,330,351,362,360,369,404,430,432,437,414,417,438,427
"경기도","가평군","2014",여자,281,311,320,306,318,283,299,315,278,248,252,245,254,272,262,272,297,331,320,313,303,302,317,339,357,361,362,372,412,438,441,433,421,425,447
"경기도","가평군","2015",여자,296,281,311,321,342,293,274,299,305,279,237,241,241,257,264,253,258,289,328,323,323,298,304,323,342,363,361,358,380,412,440,443,447,425,436
"경기도","가평군","2016",여자,291,299,282,317,342,304,279,276,304,309,262,244,236,245,256,254,253,254,296,337,337,326,306,310,323,352,369,363,357,380,420,445,459,454,438
"경기도","가평군","2017",여자,238,292,299,287,347,308,289,278,276,300,286,276,236,244,254,259,262,246,260,305,341,351,326,317,308,326,365,369,361,362,396,430,458,471,458
"경기도","가평군","2018",여자,207,231,295,303,330,304,295,280,268,273,284,288,262,255,242,262,264,256,248,262,307,344,345,336,314,306,334,363,369,368,370,403,436,468,468
"경기도","가평군","2019",여자,211,202,236,296,331,283,291,279,268,258,267,278,275,256,244,238,258,256,253,252,257,299,336,347,337,309,304,342,354,372,367,375,405,441,462
"경기도","가평군","2020",여자,221,209,205,237,318,292,268,274,268,264,255,257,272,251,243,233,234,245,248,251,241,251,291,335,345,334,302,307,342,355,369,372,378,413,440
"경기도","가평군","2021",여자,214,219,211,208,250,273,281,255,261,274,255,250,247,254,237,235,230,227,244,238,250,241,248,292,330,354,326,307,310,347,353,374,382,388,429
"경기도","가평군","2022",여자,213,216,220,212,217,225,263,267,238,268,274,254,235,244,252,240,243,227,232,232,241,250,236,249,301,342,352,330,301,314,349,361,383,388,401
"경기도","양평군","2012",여자,509,522,512,506,542,533,472,439,452,447,450,420,440,470,504,545,565,548,533,538,545,573,618,663,695,704,716,713,715,701,695,713,765,765,789
"경기도","양평군","2013",여자,503,511,526,515,517,507,518,472,432,436,454,442,415,433,452,498,554,562,575,554,569,580,588,650,704,719,743,735,732,734,718,716,747,779,791
"경기도","양평군","2014",여자,509,501,515,526,522,499,497,516,459,423,434,448,432,404,416,451,502,553,588,598,586,584,587,622,672,728,742,751,743,747,751,724,742,748,804
"경기도","양평군","2015",여자,489,517,503,521,537,517,495,502,510,452,416,424,445,417,411,439,448,519,568,610,636,606,593,630,637,697,744,766,757,774,756,754,743,747,771
"경기도","양평군","2016",여자,468,502,516,510,526,527,509,509,502,498,446,412,432,445,419,431,456,474,525,611,654,680,624,625,648,655,714,778,784,793,781,778,769,764,774
"경기도","양평군","2017",여자,443,479,504,520,530,519,513,524,508,506,502,443,428,445,437,430,467,491,494,565,642,709,720,643,648,674,669,742,803,812,808,813,803,800,803
"경기도","양평군","2018",여자,427,449,487,504,540,511,520,523,511,504,508,488,455,431,432,452,443,495,499,512,583,681,735,730,673,665,686,691,755,822,822,835,840,838,830
"경기도","양평군","2019",여자,435,426,451,484,505,510,503,506,493,477,483,486,482,450,407,429,443,450,488,507,518,604,701,743,749,682,676,713,705,763,829,844,857,860,852
"경기도","양평군","2020",여자,424,432,422,458,497,485,498,479,473,460,470,473,469,481,430,401,427,442,457,494,519,542,637,712,756,764,697,702,731,719,786,845,860,873,886
"경기도","양평군","2021",여자,431,421,432,431,473,463,468,466,461,462,463,467,473,472,490,439,414,429,456,462,507,546,580,663,752,779,788,715,712,757,749,803,848,887,910
"경기도","양평군","2022",여자,486,426,427,435,437,436,443,441,455,450,445,458,494,477,482,498,443,421,443,449,474,515,562,591,696,781,794,806,727,730,778,766,807,867,924
