행정구역(시군구)별(1),행정구역(시군구)별(2),시점,성별(1),15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세
서울특별시,소계,2012,여자,57684,59367,61169,61871,64355,66970,64974,63933,67389,70611,73697,78297,81893,87852,96211,99545,98319,96327,86403,81482,82786,81105,84043,88172,89906,91961,92807,90973,89727,86929,79464,78118,81923,79600,80890
서울특별시,소계,2013,여자,55046,57374,59152,61130,62883,65555,68382,66874,66792,70265,73033,75423,78954,81822,86720,94295,97099,95586,93671,84112,79422,80870,79498,82543,86745,88787,90962,91919,90206,88873,86205,78610,77399,81174,78820
서울특별시,소계,2014,여자,52131,54886,57277,59201,62528,64177,67007,70441,70020,69851,72869,74851,76221,79086,81044,85203,92145,94722,93023,91173,82000,77653,79324,78101,81302,85694,87847,90162,91243,89446,88186,85444,78031,76710,80429
서울특별시,소계,2015,여자,51798,51945,54752,57327,60838,63889,65557,69002,73582,72965,72277,74474,75550,76326,78286,79566,83155,89670,91839,90216,88632,79833,75876,77587,76775,80015,84549,86822,89218,90324,88617,87347,84648,77144,75896
서울특별시,소계,2016,여자,48773,51443,51693,54721,58948,62186,65184,67387,72091,76505,75332,73744,74940,75370,75483,76682,77388,80589,86718,88845,87385,85844,77696,73921,75878,75272,78643,83265,85655,88041,89264,87520,86193,83515,76154
서울특별시,소계,2017,여자,42639,48439,51218,51694,56531,60614,63736,67265,70996,75576,79456,77279,74549,75027,74912,74307,74916,75364,78255,84122,86190,84785,83626,75779,72285,74470,73990,77499,82135,84668,87003,88215,86362,85126,82434
서울특별시,소계,2018,여자,40060,42368,48303,51244,53809,58531,62511,66353,71615,75239,79316,82214,78783,75272,74946,74097,73042,73237,73336,75863,81607,83602,82423,81425,74059,70895,73133,72824,76380,81168,83602,85972,87108,85277,83990
서울특별시,소계,2019,여자,39122,39806,42269,48325,53717,56306,60982,65696,71499,76468,79508,82568,84358,80028,75404,74362,73121,71649,71388,71200,73791,79240,81394,80339,79704,72639,69630,72013,71829,75428,80197,82617,84978,85999,84203
서울특별시,소계,2020,여자,36378,38907,39690,42304,50752,56496,59074,64573,71390,76570,80762,82878,84911,85612,80304,75014,73550,71985,70195,69740,69628,71961,77471,79575,78801,78362,71551,68701,71153,71079,74584,79350,81709,83993,84958
서울특별시,소계,2021,여자,34790,36114,38730,39694,44379,53429,59250,62482,70016,76167,80565,83646,84405,85515,85265,79306,73612,71923,70199,68170,67801,67723,70069,75464,77659,77189,76985,70381,67659,70213,70029,73621,78277,80566,82768
