"시군구별(1)","시군구별(2)",시점,계 (명)
"충청북도","소계",2012.01,1407
"충청북도","소계",2012.02,1247
"충청북도","소계",2012.03,1386
"충청북도","소계",2012.04,1262
"충청북도","소계",2012.05,1231
"충청북도","소계",2012.06,1174
"충청북도","소계",2012.07,1313
"충청북도","소계",2012.08,1313
"충청북도","소계",2012.09,1285
"충청북도","소계",2012.10,1352
"충청북도","소계",2012.11,1152
"충청북도","소계",2012.12,1017
"충청북도","소계",2013.01,1337
"충청북도","소계",2013.02,1155
"충청북도","소계",2013.03,1219
"충청북도","소계",2013.04,1173
"충청북도","소계",2013.05,1064
"충청북도","소계",2013.06,1069
"충청북도","소계",2013.07,1214
"충청북도","소계",2013.08,1134
"충청북도","소계",2013.09,1148
"충청북도","소계",2013.10,1081
"충청북도","소계",2013.11,1102
"충청북도","소계",2013.12,962
"충청북도","소계",2014.01,1308
"충청북도","소계",2014.02,1140
"충청북도","소계",2014.03,1204
"충청북도","소계",2014.04,1126
"충청북도","소계",2014.05,1067
"충청북도","소계",2014.06,1090
"충청북도","소계",2014.07,1130
"충청북도","소계",2014.08,1139
"충청북도","소계",2014.09,1172
"충청북도","소계",2014.10,1080
"충청북도","소계",2014.11,979
"충청북도","소계",2014.12,931
"충청북도","소계",2015.01,1287
"충청북도","소계",2015.02,1112
"충청북도","소계",2015.03,1263
"충청북도","소계",2015.04,1114
"충청북도","소계",2015.05,1119
"충청북도","소계",2015.06,1112
"충청북도","소계",2015.07,1146
"충청북도","소계",2015.08,1064
"충청북도","소계",2015.09,1128
"충청북도","소계",2015.10,1179
"충청북도","소계",2015.11,1065
"충청북도","소계",2015.12,974
"충청북도","소계",2016.01,1261
"충청북도","소계",2016.02,1112
"충청북도","소계",2016.03,1232
"충청북도","소계",2016.04,1008
"충청북도","소계",2016.05,1107
"충청북도","소계",2016.06,968
"충청북도","소계",2016.07,1111
"충청북도","소계",2016.08,1115
"충청북도","소계",2016.09,1045
"충청북도","소계",2016.10,994
"충청북도","소계",2016.11,981
"충청북도","소계",2016.12,808
"충청북도","소계",2017.01,1056
"충청북도","소계",2017.02,969
"충청북도","소계",2017.03,1063
"충청북도","소계",2017.04,962
"충청북도","소계",2017.05,984
"충청북도","소계",2017.06,933
"충청북도","소계",2017.07,946
"충청북도","소계",2017.08,986
"충청북도","소계",2017.09,973
"충청북도","소계",2017.10,825
"충청북도","소계",2017.11,900
"충청북도","소계",2017.12,797
"충청북도","소계",2018.01,1044
"충청북도","소계",2018.02,938
"충청북도","소계",2018.03,951
"충청북도","소계",2018.04,916
"충청북도","소계",2018.05,878
"충청북도","소계",2018.06,846
"충청북도","소계",2018.07,959
"충청북도","소계",2018.08,882
"충청북도","소계",2018.09,828
"충청북도","소계",2018.10,808
"충청북도","소계",2018.11,809
"충청북도","소계",2018.12,727
"충청북도","소계",2019.01,959
"충청북도","소계",2019.02,784
"충청북도","소계",2019.03,864
"충청북도","소계",2019.04,841
"충청북도","소계",2019.05,765
"충청북도","소계",2019.06,721
"충청북도","소계",2019.07,820
"충청북도","소계",2019.08,759
"충청북도","소계",2019.09,697
"충청북도","소계",2019.10,788
"충청북도","소계",2019.11,679
"충청북도","소계",2019.12,656
"충청북도","소계",2020.01,853
"충청북도","소계",2020.02,730
"충청북도","소계",2020.03,724
"충청북도","소계",2020.04,737
"충청북도","소계",2020.05,724
"충청북도","소계",2020.06,710
"충청북도","소계",2020.07,712
"충청북도","소계",2020.08,726
"충청북도","소계",2020.09,715
"충청북도","소계",2020.10,707
"충청북도","소계",2020.11,630
"충청북도","소계",2020.12,639
"충청북도","소계",2021.01,771
"충청북도","소계",2021.02,661
"충청북도","소계",2021.03,734
"충청북도","소계",2021.04,731
"충청북도","소계",2021.05,694
"충청북도","소계",2021.06,684
"충청북도","소계",2021.07,660
"충청북도","소계",2021.08,747
"충청북도","소계",2021.09,649
"충청북도","소계",2021.10,668
"충청북도","소계",2021.11,631
"충청북도","소계",2021.12,560
"충청북도","청주시",2012.01,709
"충청북도","청주시",2012.02,614
"충청북도","청주시",2012.03,676
"충청북도","청주시",2012.04,618
"충청북도","청주시",2012.05,628
"충청북도","청주시",2012.06,604
"충청북도","청주시",2012.07,641
"충청북도","청주시",2012.08,641
"충청북도","청주시",2012.09,637
"충청북도","청주시",2012.10,649
"충청북도","청주시",2012.11,576
"충청북도","청주시",2012.12,488
"충청북도","청주시",2013.01,647
"충청북도","청주시",2013.02,586
"충청북도","청주시",2013.03,586
"충청북도","청주시",2013.04,578
"충청북도","청주시",2013.05,516
"충청북도","청주시",2013.06,522
"충청북도","청주시",2013.07,614
"충청북도","청주시",2013.08,534
"충청북도","청주시",2013.09,566
"충청북도","청주시",2013.10,539
"충청북도","청주시",2013.11,554
"충청북도","청주시",2013.12,486
"충청북도","청주시",2014.01,0
"충청북도","청주시",2014.02,0
"충청북도","청주시",2014.03,0
"충청북도","청주시",2014.04,0
"충청북도","청주시",2014.05,0
"충청북도","청주시",2014.06,0
"충청북도","청주시",2014.07,0
"충청북도","청주시",2014.08,0
"충청북도","청주시",2014.09,0
"충청북도","청주시",2014.10,0
"충청북도","청주시",2014.11,0
"충청북도","청주시",2014.12,0
"충청북도","청주시",2015.01,0
"충청북도","청주시",2015.02,0
"충청북도","청주시",2015.03,0
"충청북도","청주시",2015.04,0
"충청북도","청주시",2015.05,0
"충청북도","청주시",2015.06,0
"충청북도","청주시",2015.07,0
"충청북도","청주시",2015.08,0
"충청북도","청주시",2015.09,0
"충청북도","청주시",2015.10,0
"충청북도","청주시",2015.11,0
"충청북도","청주시",2015.12,0
"충청북도","청주시",2016.01,0
"충청북도","청주시",2016.02,0
"충청북도","청주시",2016.03,0
"충청북도","청주시",2016.04,0
"충청북도","청주시",2016.05,0
"충청북도","청주시",2016.06,0
"충청북도","청주시",2016.07,0
"충청북도","청주시",2016.08,0
"충청북도","청주시",2016.09,0
"충청북도","청주시",2016.10,0
"충청북도","청주시",2016.11,0
