구별,구분,2017.1/4,2017.2/4,2017.3/4,2017.4/4,2018.1/4,2018.2/4,2018.3/4,2018.4/4,2019.1/4,2019.2/4,2019.3/4,2019.4/4,2020.1/4,2020.2/4,2020.3/4,2020.4/4,2021.1/4,2021.2/4,2021.3/4,2021.4/4
종로구A,1,94.6637843,96.10251645,98.53981676,100,103.5814429,105.8687433,110.8146684,114.4531998,116.4540952,115.2334896,119.9069348,123.6813256,126.5149169,128.2411502,135.1402867,140.3989276,143.6781754,150.5187914,153.1466137,154.5892449
중구A,1,92.63082304,94.22351146,97.61603077,100,105.1915934,110.8130802,119.4907694,124.6161148,120.4067827,122.6552521,126.929368,131.5342033,136.0098305,140.5792314,145.9384532,155.3939157,161.2620584,164.1367983,168.3066182,173.9277831
용산구A,1,88.23152919,91.00926652,97.0277212,100,106.9676956,115.4124143,124.2454819,125.109336,123.3077863,124.4729927,130.5682387,137.582046,140.407154,139.6453914,149.2428172,155.4165796,163.614579,168.3512367,183.046676,193.3102692
성동구A,1,86.49888017,90.05767059,95.54597562,100,109.0064759,116.7572983,123.2615791,127.5942286,123.0216769,124.7108841,130.5534881,138.0470721,147.0281298,151.4508132,163.159922,173.6245327,184.1553364,190.2019673,200.2245817,203.1957658
광진구A,1,88.8776679,90.7566532,95.13198655,100,107.88408,111.4795329,117.683312,121.0707001,114.5328706,116.8568403,123.5703881,133.2748323,141.2071222,142.421386,153.6962002,162.8920802,170.5491505,176.6001741,185.6687178,188.3170042
동대문구A,1,92.94686784,94.36920299,97.6126226,100,105.2673008,112.1991323,120.2727931,127.0066124,123.5571811,124.604397,127.847847,132.1108833,139.7654447,145.6734706,155.4424631,165.4408233,175.0719713,179.2707059,188.1339363,185.4402679
중랑구A,1,94.92904602,96.34664697,98.65050096,100,101.8727336,104.3842144,111.2352979,118.2005654,118.5242905,118.8491937,121.924531,126.2652726,132.3578513,138.3218386,152.4337272,162.1965768,170.3774069,177.9665826,190.3755207,194.8197067
성북구A,1,95.53847389,96.44464964,98.63002383,100,102.5299858,107.8288693,115.9472598,126.1221018,121.3984785,120.5692415,124.8978006,130.7572054,140.0826347,148.1844032,163.1381176,174.8104186,181.7221358,187.4733306,196.2062101,198.6476555
강북구A,1,96.11613857,96.92176596,98.87953781,100,100.8792194,103.2873744,110.4213911,119.5070969,114.6517952,114.9406608,117.6061974,119.8955288,127.1194924,135.4941255,148.8252455,160.3843913,168.0998219,173.2737696,181.1438034,183.7051832
도봉구A,1,93.07113486,95.13595541,99.36432229,100,101.1407617,102.5063432,108.8654155,118.0547992,116.2257072,115.9156587,118.5923573,122.011978,126.5193562,130.661632,146.6611491,159.9330745,174.9246522,183.8169,198.6333314,198.4363503
노원구A,1,91.01802402,93.58576144,99.28311005,100,102.1476213,103.6548613,111.0456678,120.6405779,116.7838525,117.5558179,122.267622,127.5113047,135.3658502,142.3384779,160.6916345,172.7659375,187.5133146,199.204298,213.6753339,214.8984234
은평구A,1,96.61230809,97.89315283,99.50023579,100,101.497683,104.9117389,111.6462283,117.4967449,113.269914,115.5793875,118.2656526,121.1238888,124.7790493,129.3040327,138.2828169,149.7970573,156.6735046,160.5177504,168.3547327,167.8820857
서대문구A,1,94.16175021,95.59170752,98.43872468,100,103.6938297,110.064929,117.6793836,124.4227243,118.5271941,119.882695,124.7864448,130.8473263,136.8550061,141.4442058,152.2097477,163.2447516,170.8500834,175.3233651,185.2852681,189.9784411
마포구A,1,90.30806123,93.09426555,97.29962615,100,105.9314331,113.0551865,120.7787359,124.3971962,119.4196937,122.6221043,129.9299634,136.1275113,141.7403403,145.5199943,153.1325399,160.8202116,168.7341044,174.8460564,182.9009211,184.199059
양천구A,1,92.68856845,94.83418241,97.89252261,100,103.5623216,105.1760678,114.0478352,118.6224338,115.5051553,116.8396643,123.0268905,131.4291694,138.8315528,142.7078437,155.8878558,163.0003794,172.1992109,179.8963303,188.0146858,193.2510928
강서구A,1,92.86426334,95.06551668,99.06307237,100,103.1174101,107.0204709,114.7683267,121.3220686,116.2981161,115.2339847,119.0556247,123.259664,128.3413397,130.6089485,139.468628,148.5353326,156.2763844,162.8027535,174.4949979,174.2276681
구로구A,1,94.64114562,96.24664213,99.26020923,100,101.2250818,104.22337,110.3262213,118.5742171,115.4414438,116.369329,120.0113608,125.0660524,130.6960108,135.9131407,147.3924064,155.122929,163.7873938,171.5197961,180.763206,181.104913
금천구A,1,96.39681005,97.60244628,100.3619847,100,100.6459618,102.4841435,106.9303365,112.2697755,111.1216874,112.5021638,115.3060704,119.7441524,125.5184744,130.5579693,142.0861971,148.433615,158.9703972,165.0773605,175.3256991,178.3726523
영등포구A,1,91.15978961,93.3597748,97.52092797,100,106.2077154,113.5162926,122.1146339,129.5217464,126.3583252,127.2061889,133.7996454,141.2910609,147.6761211,152.5502847,161.645783,170.0892516,178.6473912,184.0672908,192.0894438,194.3751326
동작구A,1,89.42361107,92.07317269,96.57561537,100,106.3979881,113.4980372,121.272032,126.5660084,118.8958458,122.3522186,127.6441651,134.0293187,140.0752717,143.384053,152.464568,161.3183022,170.2959398,176.9270947,185.1386536,187.078843
