"시군구별(1)","시군구별(2)",시점,합계출산율
"서울특별시","소계",2012,1.059
"서울특별시","소계",2013,0.968
"서울특별시","소계",2014,0.983
"서울특별시","소계",2015,1.001
"서울특별시","소계",2016,0.940
"서울특별시","소계",2017,0.836
"서울특별시","소계",2018,0.761
"서울특별시","소계",2019,0.717
"서울특별시","소계",2020,0.642
"서울특별시","소계",2021,0.626
"서울특별시","소계",2022 p),0.590
"서울특별시","종로구",2012,0.890
"서울특별시","종로구",2013,0.729
"서울특별시","종로구",2014,0.790
"서울특별시","종로구",2015,0.813
"서울특별시","종로구",2016,0.784
"서울특별시","종로구",2017,0.646
"서울특별시","종로구",2018,0.606
"서울특별시","종로구",2019,0.648
"서울특별시","종로구",2020,0.522
"서울특별시","종로구",2021,0.531
"서울특별시","종로구",2022 p),0.470
"서울특별시","중구",2012,1.121
"서울특별시","중구",2013,0.955
"서울특별시","중구",2014,1.004
"서울특별시","중구",2015,0.946
"서울특별시","중구",2016,0.974
"서울특별시","중구",2017,0.824
"서울특별시","중구",2018,0.737
"서울특별시","중구",2019,0.780
"서울특별시","중구",2020,0.688
"서울특별시","중구",2021,0.634
"서울특별시","중구",2022 p),0.600
"서울특별시","용산구",2012,1.098
"서울특별시","용산구",2013,1.008
"서울특별시","용산구",2014,0.978
"서울특별시","용산구",2015,1.005
"서울특별시","용산구",2016,0.907
"서울특별시","용산구",2017,0.793
"서울특별시","용산구",2018,0.747
"서울특별시","용산구",2019,0.713
"서울특별시","용산구",2020,0.634
"서울특별시","용산구",2021,0.664
"서울특별시","용산구",2022 p),0.590
"서울특별시","성동구",2012,1.077
"서울특별시","성동구",2013,1.079
"서울특별시","성동구",2014,1.027
"서울특별시","성동구",2015,1.095
"서울특별시","성동구",2016,1.013
"서울특별시","성동구",2017,0.972
"서울특별시","성동구",2018,0.909
"서울특별시","성동구",2019,0.855
"서울특별시","성동구",2020,0.783
"서울특별시","성동구",2021,0.764
"서울특별시","성동구",2022 p),0.720
"서울특별시","광진구",2012,0.957
"서울특별시","광진구",2013,0.877
"서울특별시","광진구",2014,0.895
"서울특별시","광진구",2015,0.903
"서울특별시","광진구",2016,0.867
"서울특별시","광진구",2017,0.749
"서울특별시","광진구",2018,0.713
"서울특별시","광진구",2019,0.652
"서울특별시","광진구",2020,0.527
"서울특별시","광진구",2021,0.525
"서울특별시","광진구",2022 p),0.460
"서울특별시","동대문구",2012,0.998
"서울특별시","동대문구",2013,0.909
"서울특별시","동대문구",2014,0.914
"서울특별시","동대문구",2015,0.960
"서울특별시","동대문구",2016,0.889
"서울특별시","동대문구",2017,0.822
"서울특별시","동대문구",2018,0.753
"서울특별시","동대문구",2019,0.765
"서울특별시","동대문구",2020,0.699
"서울특별시","동대문구",2021,0.660
"서울특별시","동대문구",2022 p),0.620
"서울특별시","중랑구",2012,1.082
"서울특별시","중랑구",2013,0.991
"서울특별시","중랑구",2014,1.006
"서울특별시","중랑구",2015,1.051
"서울특별시","중랑구",2016,0.995
"서울특별시","중랑구",2017,0.906
"서울특별시","중랑구",2018,0.825
"서울특별시","중랑구",2019,0.777
"서울특별시","중랑구",2020,0.660
"서울특별시","중랑구",2021,0.650
"서울특별시","중랑구",2022 p),0.660
"서울특별시","성북구",2012,1.044
"서울특별시","성북구",2013,0.983
"서울특별시","성북구",2014,0.949
"서울특별시","성북구",2015,0.991
"서울특별시","성북구",2016,0.909
"서울특별시","성북구",2017,0.818
"서울특별시","성북구",2018,0.737
"서울특별시","성북구",2019,0.707
"서울특별시","성북구",2020,0.676
"서울특별시","성북구",2021,0.656
"서울특별시","성북구",2022 p),0.650
"서울특별시","강북구",2012,1.051
"서울특별시","강북구",2013,0.963
"서울특별시","강북구",2014,0.955
"서울특별시","강북구",2015,0.922
"서울특별시","강북구",2016,0.878
"서울특별시","강북구",2017,0.825
"서울특별시","강북구",2018,0.647
"서울특별시","강북구",2019,0.617
"서울특별시","강북구",2020,0.550
"서울특별시","강북구",2021,0.541
"서울특별시","강북구",2022 p),0.480
"서울특별시","도봉구",2012,1.137
"서울특별시","도봉구",2013,0.956
"서울특별시","도봉구",2014,1.000
"서울특별시","도봉구",2015,1.010
"서울특별시","도봉구",2016,0.947
"서울특별시","도봉구",2017,0.833
"서울특별시","도봉구",2018,0.774
"서울특별시","도봉구",2019,0.697
"서울특별시","도봉구",2020,0.601
"서울특별시","도봉구",2021,0.579
"서울특별시","도봉구",2022 p),0.570
"서울특별시","노원구",2012,1.162
"서울특별시","노원구",2013,1.057
"서울특별시","노원구",2014,1.109
"서울특별시","노원구",2015,1.096
"서울특별시","노원구",2016,1.068
"서울특별시","노원구",2017,0.938
"서울특별시","노원구",2018,0.809
"서울특별시","노원구",2019,0.776
"서울특별시","노원구",2020,0.695
"서울특별시","노원구",2021,0.701
"서울특별시","노원구",2022 p),0.720
"서울특별시","은평구",2012,1.139
"서울특별시","은평구",2013,1.024
