"행정구역.시군구.별.1.","행정구역.시군구.별.2.","시점","합계"
"서울특별시","종로구",2012,43172
"서울특별시","종로구",2013,41734
"서울특별시","종로구",2014,40501
"서울특별시","종로구",2015,39584
"서울특별시","종로구",2016,38638
"서울특별시","종로구",2017,38225
"서울특별시","종로구",2018,37899
"서울특별시","종로구",2019,37033
"서울특별시","종로구",2020,36068
"서울특별시","종로구",2021,35129
"서울특별시","종로구",2022,34370
"서울특별시","중구",2012,33469
"서울특별시","중구",2013,32885
"서울특별시","중구",2014,31897
"서울특별시","중구",2015,30988
"서울특별시","중구",2016,30501
"서울특별시","중구",2017,30421
"서울특별시","중구",2018,30410
"서울특별시","중구",2019,30385
"서울특별시","중구",2020,30133
"서울특별시","중구",2021,29724
"서울특별시","중구",2022,29284
"서울특별시","용산구",2012,65018
"서울특별시","용산구",2013,63479
"서울특별시","용산구",2014,61876
"서울특별시","용산구",2015,60308
"서울특별시","용산구",2016,59065
"서울특별시","용산구",2017,58305
"서울특별시","용산구",2018,58004
"서울특별시","용산구",2019,57639
"서울특별시","용산구",2020,57426
"서울특별시","용산구",2021,56909
"서울특별시","용산구",2022,56027
"서울특별시","성동구",2012,80840
"서울특별시","성동구",2013,80351
"서울특별시","성동구",2014,79369
"서울특별시","성동구",2015,78266
"서울특별시","성동구",2016,78007
"서울특별시","성동구",2017,78854
"서울특별시","성동구",2018,80007
"서울특별시","성동구",2019,79002
"서울특별시","성동구",2020,76142
"서울특별시","성동구",2021,73303
"서울특별시","성동구",2022,71200
"서울특별시","광진구",2012,107488
"서울특별시","광진구",2013,106290
"서울특별시","광진구",2014,104492
"서울특별시","광진구",2015,102435
"서울특별시","광진구",2016,100768
"서울특별시","광진구",2017,99660
"서울특별시","광진구",2018,98709
"서울특별시","광진구",2019,96989
"서울특별시","광진구",2020,95094
"서울특별시","광진구",2021,92940
"서울특별시","광진구",2022,91194
"서울특별시","동대문구",2012,93702
"서울특별시","동대문구",2013,92641
"서울특별시","동대문구",2014,91938
"서울특별시","동대문구",2015,90644
"서울특별시","동대문구",2016,88801
"서울특별시","동대문구",2017,86646
"서울특별시","동대문구",2018,84966
"서울특별시","동대문구",2019,83880
"서울특별시","동대문구",2020,82888
"서울특별시","동대문구",2021,82039
"서울특별시","동대문구",2022,81647
"서울특별시","중랑구",2012,112023
"서울특별시","중랑구",2013,109344
"서울특별시","중랑구",2014,107766
"서울특별시","중랑구",2015,105695
"서울특별시","중랑구",2016,102956
"서울특별시","중랑구",2017,100377
"서울특별시","중랑구",2018,97423
"서울특별시","중랑구",2019,94186
"서울특별시","중랑구",2020,91563
"서울특별시","중랑구",2021,89353
"서울특별시","중랑구",2022,87712
"서울특별시","성북구",2012,128970
"서울특별시","성북구",2013,126820
"서울특별시","성북구",2014,123728
"서울특별시","성북구",2015,120375
"서울특별시","성북구",2016,117336
"서울특별시","성북구",2017,114320
"서울특별시","성북구",2018,111297
"서울특별시","성북구",2019,110427
"서울특별시","성북구",2020,109965
"서울특별시","성북구",2021,107429
"서울특별시","성북구",2022,105887
"서울특별시","강북구",2012,87778
"서울특별시","강북구",2013,85820
"서울특별시","강북구",2014,83633
"서울특별시","강북구",2015,81324
"서울특별시","강북구",2016,79076
"서울특별시","강북구",2017,77180
"서울특별시","강북구",2018,75002
"서울특별시","강북구",2019,72324
"서울특별시","강북구",2020,69517
"서울특별시","강북구",2021,66409
"서울특별시","강북구",2022,63838
"서울특별시","도봉구",2012,95908
"서울특별시","도봉구",2013,93552
"서울특별시","도봉구",2014,91043
"서울특별시","도봉구",2015,88548
"서울특별시","도봉구",2016,86349
"서울특별시","도봉구",2017,83820
"서울특별시","도봉구",2018,80810
"서울특별시","도봉구",2019,77529
"서울특별시","도봉구",2020,73848
"서울특별시","도봉구",2021,70246
"서울특별시","도봉구",2022,67488
"서울특별시","노원구",2012,165498
"서울특별시","노원구",2013,161882
"서울특별시","노원구",2014,158234
"서울특별시","노원구",2015,154259
"서울특별시","노원구",2016,150454
"서울특별시","노원구",2017,145517
"서울특별시","노원구",2018,139736
"서울특별시","노원구",2019,134185
"서울특별시","노원구",2020,128753
"서울특별시","노원구",2021,123530
"서울특별시","노원구",2022,119305
"서울특별시","은평구",2012,131839
"서울특별시","은평구",2013,132061
"서울특별시","은평구",2014,130591
"서울특별시","은평구",2015,128701
"서울특별시","은평구",2016,126587
"서울특별시","은평구",2017,123752
"서울특별시","은평구",2018,121263
"서울특별시","은평구",2019,119139
"서울특별시","은평구",2020,117576
"서울특별시","은평구",2021,115670
"서울특별시","은평구",2022,113210
"서울특별시","서대문구",2012,84329
"서울특별시","서대문구",2013,83462
