,,가구분포 (%),가구원수 (명),가구주 연령 (세),경상소득(전년도) (만원),경상소득(전년도) (만원),경상소득(전년도) (만원),경상소득(전년도) (만원),경상소득(전년도) (만원),자산 (만원),자산 (만원),자산 (만원),부채 (만원),부채 (만원),부채 (만원),순자산액 (만원)
전국_서울,year,소계,소계,소계,소계,근로소득,사업소득,재산소득,이전소득,소계,금융자산,실물자산,소계,금융부채,임대보증금,소계
전국,2012,100,2.9,51.6,4233,2645,1135,189,264,32324,8141,24184,5450,3684,1766,26875
전국,2013,100,2.9,51.4,4479,2889,1125,204,261,32688,8827,23861,5858,3974,1884,26831
전국,2014,100,2.9,52.1,4658,3025,1159,190,284,33539,9013,24526,6051,4118,1933,27488
전국,2015,100,2.9,52.7,4770,3130,1142,191,307,34685,9290,25396,6256,4361,1896,28429
전국,2016,100,2.9,53.2,4882,3199,1119,221,343,36637,9638,26999,6719,4721,1998,29918
전국,2017,100,2.8,53.8,5478.2,3499.2,1216.8,353.4,408.7,38671.2,9721.7,28949.6,7099.1,5040.8,2058.3,31572.2
전국,2018,100,2.8,54.6,5705.3,3639.5,1243.4,379.8,442.6,42035.8,10346.3,31689.5,7668.2,5539.2,2129,34367.6
전국,2019,100,2.7,55.4,5827.6,3781.1,1177.1,380.4,488.9,43190.8,10570.2,32620.5,7910.2,5755.1,2155.1,35280.6
전국,2020,100,2.6,56.1,5923.9,3790.9,1151,417.3,564.8,44542.8,10504.2,34038.6,8256.2,6049.6,2206.6,36286.6
전국,2021,100,2.6,55.6,6124.8,3854.6,1134.9,432.4,702.9,50253.4,11319.3,38934.1,8801.4,6517.9,2283.5,41452
전국,2022,100,2.5,55.2,6413.7,4125.3,1159.7,425.5,703.2,54771.9,12125.9,42646.1,9169.6,6802.9,2366.7,45602.3
서울,2012,19.8,2.8,50,4855,3159,1154,286,256,47114,11877,35237,8263,4302,3960,38851
서울,2013,19.6,2.9,50.1,4923,3391,1002,280,250,45578,12646,32933,8596,4618,3978,36982
서울,2014,19.5,2.9,51,5034,3507,970,291,266,46785,13103,33682,8924,4766,4159,37861
서울,2015,19.4,2.8,51.3,5253,3641,1019,300,294,48687,13685,35002,9425,5228,4197,39262
서울,2016,19.4,2.8,52,5366,3650,1009,360,346,50681,14226,36455,9736,5402,4334,40944
서울,2017,19.5,2.8,52.8,6171.5,4038.8,1168.6,565.4,398.8,54431,14633.4,39797.6,9689.7,5608.8,4080.9,44741.3
서울,2018,19.2,2.8,53.3,6494.6,4375.6,1078.6,613.7,426.7,60713.8,15989.4,44724.4,10073.1,5899.6,4173.5,50640.7
서울,2019,19,2.7,54.3,6595,4433.2,1080.1,609,472.6,64240,15888.8,48351.2,10635.2,6195.9,4439.4,53604.7
서울,2020,19,2.6,55,6575.2,4323.7,1104.2,609.3,537.9,67839.5,15588,52251.4,11077.3,6391.7,4685.6,56762.1
서울,2021,18.8,2.6,54.5,6826.2,4370.2,1090.5,686.2,679.3,76578.1,17212.2,59365.9,11715.7,6997.2,4718.5,64862.4
서울,2022,19,2.5,53.6,7103.2,4851.7,978.1,627.2,646.2,81710.5,17650.1,64060.3,11972.1,7472.4,4499.7,69738.3
