"구분별(1)","시점",가구분포 (%),가구원수 (명),가구주 연령 (세),경상소득(전년도) (만원),경상소득(전년도) (만원),경상소득(전년도) (만원),경상소득(전년도) (만원),경상소득(전년도) (만원),자산 (만원),자산 (만원),자산 (만원),부채 (만원),부채 (만원),부채 (만원),순자산액 (만원)
"구분별(1)","시점",소계,소계,소계,소계,근로소득,사업소득,재산소득,이전소득,소계,금융자산,실물자산,소계,금융부채,임대보증금,소계
"전국","2012",100.0,2.9,51.6,4233.0,2645.0,1135.0,189.0,264.0,32324.0,8141.0,24184.0,5450.0,3684.0,1766.0,26875.0
"전국","2013",100.0,2.9,51.4,4479.0,2889.0,1125.0,204.0,261.0,32688.0,8827.0,23861.0,5858.0,3974.0,1884.0,26831.0
"전국","2014",100.0,2.9,52.1,4658.0,3025.0,1159.0,190.0,284.0,33539.0,9013.0,24526.0,6051.0,4118.0,1933.0,27488.0
"전국","2015",100.0,2.9,52.7,4770.0,3130.0,1142.0,191.0,307.0,34685.0,9290.0,25396.0,6256.0,4361.0,1896.0,28429.0
"전국","2016",100.0,2.9,53.2,4882.0,3199.0,1119.0,221.0,343.0,36637.0,9638.0,26999.0,6719.0,4721.0,1998.0,29918.0
"전국","2017",100.0,2.8,53.8,5478.2,3499.2,1216.8,353.4,408.7,38671.2,9721.7,28949.6,7099.1,5040.8,2058.3,31572.2
"전국","2018",100.0,2.8,54.6,5705.3,3639.5,1243.4,379.8,442.6,42035.8,10346.3,31689.5,7668.2,5539.2,2129.0,34367.6
"전국","2019",100.0,2.7,55.4,5827.6,3781.1,1177.1,380.4,488.9,43190.8,10570.2,32620.5,7910.2,5755.1,2155.1,35280.6
"전국","2020",100.0,2.6,56.1,5923.9,3790.9,1151.0,417.3,564.8,44542.8,10504.2,34038.6,8256.2,6049.6,2206.6,36286.6
"전국","2021",100.0,2.6,55.6,6124.8,3854.6,1134.9,432.4,702.9,50253.4,11319.3,38934.1,8801.4,6517.9,2283.5,41452.0
"전국","2022",100.0,2.5,55.2,6413.7,4125.3,1159.7,425.5,703.2,54771.9,12125.9,42646.1,9169.6,6802.9,2366.7,45602.3
"서울","2012",19.8,2.8,50.0,4855.0,3159.0,1154.0,286.0,256.0,47114.0,11877.0,35237.0,8263.0,4302.0,3960.0,38851.0
"서울","2013",19.6,2.9,50.1,4923.0,3391.0,1002.0,280.0,250.0,45578.0,12646.0,32933.0,8596.0,4618.0,3978.0,36982.0
"서울","2014",19.5,2.9,51.0,5034.0,3507.0,970.0,291.0,266.0,46785.0,13103.0,33682.0,8924.0,4766.0,4159.0,37861.0
"서울","2015",19.4,2.8,51.3,5253.0,3641.0,1019.0,300.0,294.0,48687.0,13685.0,35002.0,9425.0,5228.0,4197.0,39262.0
"서울","2016",19.4,2.8,52.0,5366.0,3650.0,1009.0,360.0,346.0,50681.0,14226.0,36455.0,9736.0,5402.0,4334.0,40944.0
"서울","2017",19.5,2.8,52.8,6171.5,4038.8,1168.6,565.4,398.8,54431.0,14633.4,39797.6,9689.7,5608.8,4080.9,44741.3
"서울","2018",19.2,2.8,53.3,6494.6,4375.6,1078.6,613.7,426.7,60713.8,15989.4,44724.4,10073.1,5899.6,4173.5,50640.7
"서울","2019",19.0,2.7,54.3,6595.0,4433.2,1080.1,609.0,472.6,64240.0,15888.8,48351.2,10635.2,6195.9,4439.4,53604.7
"서울","2020",19.0,2.6,55.0,6575.2,4323.7,1104.2,609.3,537.9,67839.5,15588.0,52251.4,11077.3,6391.7,4685.6,56762.1
"서울","2021",18.8,2.6,54.5,6826.2,4370.2,1090.5,686.2,679.3,76578.1,17212.2,59365.9,11715.7,6997.2,4718.5,64862.4
"서울","2022",19.0,2.5,53.6,7103.2,4851.7,978.1,627.2,646.2,81710.5,17650.1,64060.3,11972.1,7472.4,4499.7,69738.3
