시점,시도별,농축수산물,공업제품,전기 · 가스 · 수도,집세,공공서비스,개인서비스,출산율
2012,　　　서울특별시,84.572,94.385,116.948,85.828,96.9,85.29,1.3
2013,　　　서울특별시,83.128,95.505,122.581,88.279,97.6,86.444,1.19
2014,　　　서울특별시,80.868,97.119,127.783,90.754,98.23,87.971,1.21
2015,　　　서울특별시,83.425,97.842,116.394,93.574,99.893,89.69,1.24
2016,　　　서울특별시,86.541,97.718,103.955,95.904,101.421,92.102,1.17
2017,　　　서울특별시,92.974,98.66,102.933,97.917,102.209,94.468,1.05
2018,　　　서울특별시,95.673,99.578,99.726,98.935,102.459,96.953,0.98
2019,　　　서울특별시,92.937,99.897,101.541,99.258,102.442,98.815,0.92
2020,　　　서울특별시,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　서울특별시,107.86,101.51,97.66,101.61,100.8,102.51,0.81
2022,　　　서울특별시,111.67,107.43,112.3,103.35,101.51,108.11,0.78
2012,　　　부산광역시,86.98,94.925,111.049,93.777,98.489,84.264,1.3
2013,　　　부산광역시,87.529,95.998,116.215,95.999,99.153,85.776,1.19
2014,　　　부산광역시,84.518,97.364,120.596,97.126,100.562,87.418,1.21
2015,　　　부산광역시,86.15,98.01,111.89,98.12,100.991,89.327,1.24
2016,　　　부산광역시,89.391,97.573,103.359,99.193,101.722,92.39,1.17
2017,　　　부산광역시,93.013,98.882,102.059,100.272,102.858,94.583,1.05
2018,　　　부산광역시,97.364,100.039,99.908,100.607,103.517,97.195,0.98
2019,　　　부산광역시,95.724,100.137,101.377,100.129,102.649,99.194,0.92
2020,　　　부산광역시,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　부산광역시,108.79,102.03,97.82,100.87,100.75,102.78,0.81
2022,　　　부산광역시,112.59,108.63,108.91,102.27,101.68,108.04,0.78
2012,　　　대구광역시,84.368,95.859,112.992,90.066,97.648,83.199,1.3
2013,　　　대구광역시,83.572,96.569,117.964,93.426,98.335,85.512,1.19
2014,　　　대구광역시,83.276,97.901,122.355,95.756,98.714,87.058,1.21
2015,　　　대구광역시,84.536,97.875,114.992,97.941,99.582,88.791,1.24
2016,　　　대구광역시,88.419,97.387,105.144,99.159,100.496,91.502,1.17
2017,　　　대구광역시,92.585,99.039,103.172,99.593,102.689,93.788,1.05
2018,　　　대구광역시,97.164,100.52,100.025,99.784,103.163,96.235,0.98
2019,　　　대구광역시,95.978,100.261,101.365,99.67,102.595,98.802,0.92
2020,　　　대구광역시,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　대구광역시,108.96,102.48,97.66,101.33,100.87,102.67,0.81
2022,　　　대구광역시,113.0,109.63,110.08,102.44,101.51,108.49,0.78
2012,　　　인천광역시,85.582,94.91,116.39,87.791,98.392,84.972,1.3
2013,　　　인천광역시,85.792,95.742,122.265,89.072,98.757,85.819,1.19
2014,　　　인천광역시,82.788,97.133,127.538,91.3,99.662,87.452,1.21
2015,　　　인천광역시,83.999,98.075,116.187,94.264,100.78,89.286,1.24
2016,　　　인천광역시,86.635,97.713,104.29,96.23,102.514,91.541,1.17
2017,　　　인천광역시,90.527,99.162,103.172,98.009,103.126,93.988,1.05
2018,　　　인천광역시,95.286,100.262,99.909,99.211,102.996,96.642,0.98
2019,　　　인천광역시,93.817,100.054,101.669,99.562,102.06,98.148,0.92
2020,　　　인천광역시,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　인천광역시,108.75,102.47,96.27,101.49,101.28,102.72,0.81
2022,　　　인천광역시,113.16,109.2,108.4,103.28,101.45,108.85,0.78
2012,　　　광주광역시,86.055,96.443,113.914,91.752,98.719,84.711,1.3
2013,　　　광주광역시,85.3,97.193,119.577,95.004,99.453,86.159,1.19
2014,　　　광주광역시,84.213,98.507,124.489,96.326,100.002,88.556,1.21
2015,　　　광주광역시,86.332,98.037,114.434,97.513,100.44,90.033,1.24
2016,　　　광주광역시,89.346,97.559,104.227,98.114,101.78,92.885,1.17
2017,　　　광주광역시,94.693,99.135,103.192,98.767,103.184,95.266,1.05
2018,　　　광주광역시,95.096,100.48,99.994,99.376,103.234,97.421,0.98
2019,　　　광주광역시,93.956,100.172,101.606,99.669,102.795,98.695,0.92
2020,　　　광주광역시,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　광주광역시,110.05,102.3,97.35,100.82,100.92,102.55,0.81
2022,　　　광주광역시,115.59,109.23,109.41,101.91,101.68,107.62,0.78
2012,　　　대전광역시,87.159,96.658,114.59,94.145,101.288,86.576,1.3
2013,　　　대전광역시,85.236,97.477,119.837,95.744,101.708,87.76,1.19
2014,　　　대전광역시,82.404,98.64,124.577,97.67,101.927,88.718,1.21
