시점,시도별,농축수산물,공업제품,전기 · 가스 · 수도,집세,공공서비스,외식,외식제외,출산율
2012,　　　서울특별시,84.572,94.385,116.948,85.828,96.9,84.725,85.643,1.3
2013,　　　서울특별시,83.128,95.505,122.581,88.279,97.6,85.781,86.86,1.19
2014,　　　서울특별시,80.868,97.119,127.783,90.754,98.23,86.827,88.683,1.21
2015,　　　서울특별시,83.425,97.842,116.394,93.574,99.893,89.258,89.958,1.24
2016,　　　서울특별시,86.541,97.718,103.955,95.904,101.421,91.724,92.336,1.17
2017,　　　서울특별시,92.974,98.66,102.933,97.917,102.209,93.998,94.759,1.05
2018,　　　서울특별시,95.673,99.578,99.726,98.935,102.459,97.07,96.876,0.98
2019,　　　서울특별시,92.937,99.897,101.541,99.258,102.442,99.216,98.566,0.92
2020,　　　서울특별시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　서울특별시,107.86,101.51,97.66,101.61,100.8,102.82,102.3,0.81
2022,　　　서울특별시,111.67,107.43,112.3,103.35,101.51,110.56,106.45,0.78
2012,　　　부산광역시,86.98,94.925,111.049,93.777,98.489,85.107,83.655,1.3
2013,　　　부산광역시,87.529,95.998,116.215,95.999,99.153,86.076,85.562,1.19
2014,　　　부산광역시,84.518,97.364,120.596,97.126,100.562,87.508,87.363,1.21
2015,　　　부산광역시,86.15,98.01,111.89,98.12,100.991,89.337,89.324,1.24
2016,　　　부산광역시,89.391,97.573,103.359,99.193,101.722,92.578,92.263,1.17
2017,　　　부산광역시,93.013,98.882,102.059,100.272,102.858,94.478,94.66,1.05
2018,　　　부산광역시,97.364,100.039,99.908,100.607,103.517,97.731,96.804,0.98
2019,　　　부산광역시,95.724,100.137,101.377,100.129,102.649,99.57,98.919,0.92
2020,　　　부산광역시,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.84
2021,　　　부산광역시,108.79,102.03,97.82,100.87,100.75,103.12,102.5,0.81
2022,　　　부산광역시,112.59,108.63,108.91,102.27,101.68,111.06,105.6,0.78
2012,　　　대구광역시,84.368,95.859,112.992,90.066,97.648,82.435,83.756,1.3
2013,　　　대구광역시,83.572,96.569,117.964,93.426,98.335,84.624,86.163,1.19
2014,　　　대구광역시,83.276,97.901,122.355,95.756,98.714,86.022,87.811,1.21
