시도,시군구,산후조리원,주소,일반실,특실
서울,종로구,첫단추(창경궁점),서울특별시 종로구 원남동 28-7 창경빌딩 2~4층,410,460
서울,종로구,올리비움,서울특별시 종로구 통일로 16길 4-1,470,2000
서울,중구,더드림 산후조리원,"서울특별시 서울시 중구 다산로36길 11 6,7층",280,330
서울,중구,와이케이 동그라미 레피리움 산후조리원,"서울특별시 서울시 중구 중림로31, 이화빌딩 1층",450,450
서울,성동구,㈜와이케이 동그라미 산후조리원 행당점,서울특별시 성동구 고산자로 6길 40 6층,450,0
서울,광진구,광진아기맘미소,"서울특별시 광진구 뚝섬로 503, 3층(자양동)",300,0
서울,광진구,르베르쏘,서울특별시 광진구 구의로 28 2층(구의동),220,0
서울,광진구,(주)궁 구의점,서울특별시 광진구 자양로 192 1~5층(구의동),480,580
서울,동대문구,린아미에산후조리원,"서울특별시 동대문구 장한로 119 (장안동,삼성쉐르빌2층)",250,0
서울,동대문구,삼육서울병원부설산후조리원,"서울특별시 동대문구 망우로 82, B1,1,2층 (휘경동)",230,286
서울,동대문구,린산후조리원,"서울특별시 동대문구 답십리로 266 (장안동,8층,9층)",380,450
서울,동대문구,베베리타산후조리원,"서울특별시 동대문구 답십리로 269, 7,8층 (장안동)",250,270
서울,동대문구,마드레산후조리원,"서울특별시 동대문구 전농로 102, 4층 (답십리동)",290,320
서울,동대문구,레피리움산후조리원장안점,"서울특별시 동대문구 한천로46길 42, 2층(장안동, 예신프라자)",390,0
서울,동대문구,맘스터치산후조리원,"서울특별시 동대문구 천호대로 317, 9층(답십리동, 하늘병원)",290,0
서울,중랑구,아이맘-S 산후조리원,서울 중랑구 망우로 411,260,280
서울,중랑구,이제 산후조리원,서울 중랑구 신내로25가길 2 현동학당 206,210,0
서울,중랑구,이자르(태릉노블점),서울 중랑구 중랑역로 257 신흥빌딩 4층,250,300
서울,중랑구,궁 (신내점),"서울 중랑구 신내로 16길 76 3,4,5층",430,510
서울,성북구,루시나산후조리원,"서울특별시 성북구 보문로 180. 6,7층",300,0
서울,성북구,동그라미산후조리원성북점,서울특별시 성북구 화랑로 248. 8층,270,0
서울,성북구,첫단추산후조리원성북점,서울특별시 성북구 동소문로 48. 3층,270,298
서울,강북구,햇빛병원부설 햇빛산후조리원,서울특별시 강북구 도봉로 131(미아동),400,550
서울,강북구,맘스텔라산후조리원,서울특별시 강북구 도봉로 136(미아동),240,250
서울,강북구,라테라산후조리원 미아,"서울특별시 강북구 삼양로 184, 6층(미아동)",270,0
서울,도봉구,에이치큐브산후조리원,"서울특별시 도봉구 도봉로 604(창동) 에이치큐브병원 7, 8층",280,320
서울,도봉구,소중한맘산후조리원,서울특별시 도봉구 도봉로 575(쌍문동) 7층,250,0
서울,도봉구,마미캠프 산후조리원,서울특별시 도봉구 해등로 125(창동) 한영빌딩 2층,240,0
서울,도봉구,강남퀸즈 산후조리원 강북점,"서울특별시 도봉구 도봉로 524  (창동)  6,7층",290,320
서울,노원구,이자르산후조리원,"서울특별시 수락산로 232, 3층(상계동)",240,260
서울,노원구,모아드림산후조리원,서울특별시 상계로5길 9(상계동),260,290
서울,노원구,노원라테라산후조리원,서울특별시 상계로7길 17(상계동),300,0
서울,노원구,더블레스 산후조리원,"서울특별시 노원로 240(하계동, 백경빌딩)",380,532
서울,노원구,동그라미산후조리원(월계),"서울특별시 초안산로5길 12, 5층(월계동)",250,0
서울,은평구,인정산후조리원,서울특별시 은평구 응암로 164,240,330
서울,은평구,더은혜산후조리원,서울특별시 은평구 진흥로 133,290,310
서울,은평구,이자르산후조리원,서울특별시 은평구 응암로 235 대성B 4층,290,330
서울,은평구,아이젤산후조리원,서울특별시 은평구 서오릉로 81,240,0
서울,은평구,아가랑산후조리원,서울특별시 은평구 서오릉로 145 상원빌딩5층,220,250
서울,은평구,레피리움 산후조리원,"서울특별시 은평구 통일로 856, 8층",450,0
서울,서대문구,동그라미 산후조리원(서대문점),"서울특별시 서대문구 응암로 133, 2, 3층",370,400
서울,서대문구,제이 산후조리원,서울특별시 서대문구 통일로 442(홍제동),280,336
서울,마포구,아이린산후조리원 성산점,"서울특별시 마포구 월드컵북로 137(성산동,CS타워 10층)",260,300
서울,마포구,아이린산후조리원 망원점,서울특별시 마포구 월드컵로 155(망원동),260,290
서울,마포구,라펠리체산후조리원,서울특별시 마포구 월드컵북로 497(상암동),0,0
서울,양천구,(주)동그라미 레피리움 강서점,서울특별시 양천구 화곡로 64(신월5동) 동화빌딩 2층,450,0
서울,양천구,목동굿맘 산후조리원,서울특별시 양천구 신월로 338(신정1동)원빌딩 4층,220,300
서울,양천구,㈜이자르산후조리원목동지점,서울특별시 양천구 목동중앙남로3가길 127,240,260
